"","h1","h2","h3","inj12","inj3","fr","rep","sev"
"PLAG1",1,1,1,0,0,1,1,0
"HCK",0,0,1,0,0,1,1,0
"MRPL4",1,1,1,0,0,0,0,0
"KEAP1",0,1,1,1,1,0,0,0
"AP1M2",0,0,0,0,1,1,0,1
"GLG1",0,1,1,0,1,0,1,0
"ATP8B3",0,0,0,0,0,0,0,1
"BTBD2",0,0,0,0,1,0,0,1
"CSNK1G2",1,1,1,1,1,1,0,0
"ABHD17A",1,0,1,0,1,0,0,1
"MOB3A",0,0,0,1,1,1,0,1
"CACNB3",0,0,0,0,1,1,0,0
"CCDC65",0,0,0,0,0,0,1,1
"FKBP11",1,0,0,0,1,1,1,1
"DDX23",0,1,1,1,1,1,0,0
"PLD3",1,1,0,0,1,1,0,0
"GRIK5",0,1,1,0,0,1,0,0
"CD79A",0,0,0,1,0,0,0,1
"RABAC1",0,0,0,0,1,0,1,1
"ETV3",0,1,0,0,1,0,1,1
"PRKCSH",1,0,1,1,0,1,0,0
"ELAVL3",0,0,1,0,0,0,0,1
"RAB3B",0,1,0,0,1,0,0,1
"ST8SIA6",1,1,1,0,0,1,0,0
"FCGRT",1,1,0,1,0,0,0,0
"NOSIP",0,1,1,0,0,0,0,1
"PIH1D1",1,1,1,0,0,0,0,1
"RPS11",1,0,0,0,1,1,0,1
"SUPT5",0,0,0,0,1,0,0,1
"DLL3",1,0,0,1,1,1,0,0
"PAF1",1,1,1,0,1,0,0,1
"TIMM50",0,1,1,1,1,0,0,1
"MED29",0,0,0,0,1,0,0,1
"BICD1",0,0,1,0,1,1,1,0
"NCSTN",0,1,1,1,0,1,0,0
"PEX19",0,1,1,1,0,0,1,0
"PHYHIP",1,0,1,0,0,1,0,0
"CRHR2",1,1,0,0,0,1,1,0
"INMT",1,1,1,0,0,1,0,1
"CYP4F18",0,0,0,1,1,1,1,1
"IMPDH1",0,0,0,1,1,0,0,1
"DUSP3",0,0,0,1,1,1,0,0
"PRODH",1,1,0,1,0,0,1,0
"DGCR14",0,0,1,1,0,0,1,1
"SLC25A1",1,1,1,1,0,0,0,1
"DGCR6",1,0,0,1,0,1,1,0
"DDR1",1,0,0,1,1,1,1,0
"IER3",0,0,0,0,1,0,0,1
"FOSB",0,0,0,0,0,0,0,1
"KLC4",1,1,1,0,0,0,0,1
"ERCC1",0,0,0,1,1,0,1,0
"AS3MT",0,0,0,1,1,0,0,1
"HOMER3",0,0,0,1,1,1,0,1
"CRTC1",0,1,1,1,1,0,0,0
"RNF215",0,1,1,0,1,0,0,1
"SEC14L2",0,0,0,0,1,1,1,1
"AVEN",1,1,1,0,1,0,0,0
"CP",0,0,0,0,0,1,0,0
"CROT",0,1,1,0,0,0,0,0
"RPS6KA1",0,1,1,0,0,0,1,0
"CALB2",0,0,1,0,0,1,1,0
"SNRNP200",1,1,1,0,0,0,0,0
"CIAO1",1,1,1,0,0,0,0,1
"HAS1",0,0,0,1,1,1,0,1
"TAF6L",1,0,1,1,0,1,1,0
"INSIG2",1,1,1,0,0,1,0,0
"KPNA6",1,1,1,1,0,0,0,0
"MAN1A",0,0,0,1,1,0,1,0
"ITPKC",0,0,0,1,1,1,0,1
"COQ8B",0,0,1,0,1,0,0,0
"BRD8",0,0,1,0,0,0,1,0
"KIF20A",0,0,0,0,0,0,1,0
"FARSA",1,1,1,0,1,0,0,0
"GCDH",1,1,1,0,0,0,1,0
"MAST2",0,0,0,1,1,0,1,0
"DNASE2A",0,0,1,1,1,1,0,0
"RAD23A",0,1,1,1,1,0,0,1
"CALR",0,0,0,0,0,0,1,1
"SYCE2",1,1,1,0,0,0,1,0
"NFAT5",0,0,0,0,1,1,0,1
"NOB1",0,1,1,0,1,0,1,0
"NQO1",0,0,1,1,1,0,0,1
"PPFIA3",0,1,1,0,0,0,0,1
"GYS1",1,0,0,1,1,0,0,0
"RUVBL2",0,0,1,0,1,0,0,1
"LIN7B",0,1,1,1,1,0,0,0
"BAX",0,0,1,0,1,0,1,1
"IL7R",1,1,0,0,0,1,1,0
"TFAM",0,1,1,0,1,0,0,0
